time,left_ankle_pitch_pos,right_ankle_pitch_pos,left_ankle_pitch_vel,right_ankle_pitch_vel,left_ankle_pitch_torque,right_ankle_pitch_torque,left_ankle_roll_pos,right_ankle_roll_pos,left_ankle_roll_vel,right_ankle_roll_vel,left_ankle_roll_torque,right_ankle_roll_torque,com_x,com_y,com_z,base_height,base_roll,base_pitch,base_yaw
0.0,-0.039179767181117854,0.13012961163736672,-3.216658197484795,-5.387336147385264,-1.1034604280404334,-1.4144909442756088,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9994815229511559,0.0003145714374241937,-0.0003793221088728149,-1.569662143447437
0.001,-0.07086591852511939,0.078326464579293,-3.158561624370607,-5.025494465253385,-1.123831034328024,-0.9898053622907447,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9979506427421646,0.0013284760031927467,-0.0020685433986638024,-1.5684896800748578
0.002,-0.10397195805431603,0.028167114772789232,-3.477234056377544,-5.062992814862321,-1.8175845351289877,-1.2569087619739505,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9953854437472228,0.0029572187787704207,-0.004992625520671146,-1.5659638801521685
0.003,-0.14197244149777177,-0.024305646849814264,-4.084246778671994,-5.431495883936071,-2.5687940702072734,-1.4902478398145615,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9917929561710773,0.0050124387227853395,-0.008958991776307768,-1.5617643150493734
0.004,-0.1693915440092585,-0.08169962214051078,-1.8965268082900304,-6.007265964386044,-46.445687717390825,-1.4994120126686628,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9872787762939572,0.0074071977026959335,-0.013975962219194171,-1.5560126922677209
0.005,-0.19014399244662059,-0.14521709626110543,-1.8566384317720703,-6.636711941484789,-46.11503948058389,-1.6904090019987477,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9821942554735568,0.010585968511027777,-0.02031904771218329,-1.5498091652522348
0.006,-0.20575788965628358,-0.21431478807211254,-1.1144244476945162,-6.929189092757748,-57.3651282953529,0.31184599133505886,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9766318462826967,0.014795343429349739,-0.02792727259794958,-1.5444589983102726
0.007,-0.21163866264162878,-0.28164191906763053,-0.31548005715571426,-6.337176595402781,-77.48329520938812,-1.883976011118067,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9708037593508861,0.02009974542388626,-0.03690221662148363,-1.5409822348508402
0.008,-0.20542605787530366,-0.33312614622816383,1.2782514705060577,-4.375608374351199,-114.95069138085644,-19.755679414856182,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9652481693025535,0.025981615520314638,-0.04766997847745458,-1.5379168259653895
0.009000000000000001,-0.1919825175056858,-0.3731998199185863,1.3201256364835712,-3.7863743186468284,-108.37250849852974,-18.851179478251563,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9604946639281169,0.03242798784980361,-0.0609615225303215,-1.533335800328988
0.01,-0.17971562296921445,-0.4101245506716902,1.1464943678194293,-3.6760746704905984,-97.51699687415484,-13.30557567398662,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9564725865241971,0.03945857989602963,-0.07669503168959224,-1.5270472783770714
0.011,-0.16974332488495814,-0.4473044952055743,0.8636513995766584,-3.7411784797020693,-86.38202723545521,-7.105406481875047,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9529083372828986,0.04702030550846681,-0.0943950921021719,-1.5193258491733859
0.012,-0.16291129555312095,-0.4842962249631042,0.5332378547921415,-3.2852863432744095,-76.3044532456236,-7.222365956829675,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9495680900615618,0.05519178952203996,-0.11356951776982704,-1.510680874813847
0.013000000000000001,-0.15967312903475725,-0.5035087164783929,0.15032634757707253,-1.3253963967694626,-66.64365495499977,-25.005638103412142,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9463307799005729,0.06386887975474842,-0.13373473290068794,-1.5014815914249109
0.014,-0.14894243323059755,-0.5161746267394712,1.4879064915139768,-1.296448063982899,-85.21205876814294,-21.377255109229417,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9429540552492843,0.07287414496409927,-0.14830440729283834,-1.4899467893290834
0.015,-0.1335602871355639,-0.5300600569675695,1.471521418802981,-1.4480451590320216,-82.1179256669752,-16.83714376992671,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9394183448365462,0.0825991224096202,-0.15543539069279477,-1.4765235855857433
0.016,-0.12105287979720399,-0.5451163577142587,1.0477433426817953,-1.5534063316774018,-73.71749742381544,-13.399646673466327,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9357879559143523,0.0930494600036792,-0.15812099397293067,-1.4625957524875566
0.017,-0.11313892213777811,-0.5610671690683392,0.5884106997050333,-1.6189490833919529,-64.85539572436502,-10.465988559319957,0,0,0,0,0,0,-0.0007472257074475674,-0.10113572748911663,0.9279397070034948,0.9320373017670632,0.1041929001138997,-0.1580463310180209,-1.448563986931379
